mmsA ko:K00140
bioA ko:K00822
queF ko:K09457
queD ko:K01737
queE ko:K10026
queC ko:K06920
argS ko:K01887
rsfS ko:K00969
mnmA ko:K00566
iscS ko:K04487
TOM70 ko:K17768
moxR ko:K03924
rlmN2 ko:K06941
abgA ko:K01436
ggt ko:K00681
lys ko:K00290
glyQS ko:K01880
topA ko:K03168
hisS ko:K01892
rarA ko:K07452
ABHD8 ko:K13701
ykuF ko:K13774
der ko:K03977
ung ko:K21929
sasH ko:K11751
leuS ko:K01869
folD ko:K01491
zapA ko:K09888
pheT ko:K01890
pheS ko:K01889
rplT ko:K02887
rpmI ko:K02916
infC ko:K02520
thrS ko:K01868
prc ko:K03797
tmk ko:K00943
rsmI ko:K07056
lat ko:K03918
yqeV ko:K18707
menA ko:K02548
carB ko:K01955
carA ko:K01956
cyaA ko:K01768
ligA ko:K01972
enpP ko:K01113
hxuB ko:K03641
yihX ko:K07025
pepP ko:K01262
dtd ko:K07560
dnaE ko:K02337
prmC ko:K02493
prfA ko:K02835
prmC ko:K09153
rpmE ko:K02909
rho ko:K02887
folC ko:K11754
murI ko:K01776
amiA ko:K01448
comEA ko:K02237
eno ko:K01689
motA ko:K02556
recO ko:K03584
proS ko:K01881
aviRb ko:K03437
aroQ ko:K03786
ileS ko:K01870
glnS ko:K01886
gltX ko:K01885
msrA ko:K12267
pntB ko:K00325
pntA ko:K00324
lspG ko:K02456
pilT ko:K02669
pilM ko:K02662
pilQ ko:K02453
pilC ko:K02653
pilD ko:K02654
capC ko:K22116
grxC ko:K03676
alaS ko:K01872
dinG ko:K02342
hutH ko:K01745
guaB ko:K00088
rpsT ko:K02968
argK ko:K07588
tatC ko:K03118
ispB ko:K00805
waaA ko:K02527
pgsA ko:K00995
ftsY ko:K03110
rimO ko:K14441
uvrB ko:K03702
galE ko:K01784
fhlA ko:K03413
asnS ko:K01893
nadE ko:K01950
lepA ko:K03596
lgt ko:K13292
rmlD ko:K00067
dpm1 ko:K00721
wbbL ko:K03606
accA ko:K01962
mvaB ko:K01640
ppiD ko:K01802
ydiB ko:K06925
yeaZ ko:K14742
rimI ko:K03789
accD ko:K01963
surE ko:K03787
guaA ko:K01951
glmS ko:K00820
yfiH ko:K05810
uppP ko:K06153
holA ko:K02340
sigG ko:K03088
arnC ko:K00721
nptA ko:K14683
fadN ko:K07516
rnfG ko:K03612
hmuR ko:K16089
kynA ko:K00453
nbaC ko:K00452
prfB ko:K02836
dacA ko:K18672
folP ko:K00796
ftsH ko:K03798
hpt ko:K00760
tilS ko:K04075
metF ko:K00297
ycbL ko:K01069
ccmC ko:K02195
cstA ko:K06200
dxs ko:K01662
pdxT ko:K08681
pdxS ko:K06215
ispH ko:K02945
nrnA ko:K06881
apbE ko:K03734
nqrF ko:K00351
nqrE ko:K00350
nqrD ko:K00349
nqrC ko:K00348
nqrB ko:K00347
nqrA ko:K00346
nuoN ko:K00343
nuoM2 ko:K00342
nuoL ko:K00341
nuoK ko:K00340
nuoI ko:K00338
nuoH ko:K00337
nuoD ko:K00333
nuoC ko:K00332
nuoB ko:K00331
nuoA ko:K00330
nadK ko:K00858
xseB ko:K03602
xseA ko:K03601
CP_0155 ko:K08307
hldE ko:K03272
serS ko:K01875
wcaJ ko:K05946
gdhA ko:K00262
speB ko:K01479
bcp ko:K03564
rnhB ko:K03470
comEC ko:K02238
dagA ko:K03310
purL ko:K01952
recX ko:K03565
recA ko:K03553
cinA ko:K03742
pgsA ko:K00995
recR ko:K06187
dnaX ko:K02343
glk ko:K00845
gapA ko:K00134
gap ko:K00134
phhB ko:K01724
MA20_19445 ko:K01997
livF ko:K01996
putP ko:K03307
lytB ko:K06381
mhbB ko:K16165
ACMSD ko:K03392
kynU ko:K01556
kmo ko:K00486
acsA ko:K01895
gpmA ko:K01834
dnaG ko:K02316
degP ko:K04771
cdd ko:K01489
udk ko:K00876
tdk ko:K00857
nupC ko:K03317
adk ko:K00939
coaE ko:K00859
nfeD ko:K07403
htrB ko:K02517
rseP ko:K11749
dxr ko:K00099
lpxA ko:K00677
fabZ ko:K02372
lpxD ko:K02536
skp ko:K06142
bamA ko:K07277
uppS ko:K00806
mrp ko:K03593
glpK ko:K00864
pepC ko:K01372
mutY ko:K03575
csaA ko:K06878
glnII ko:K01915
priA ko:K04066
rplI ko:K02939
rpsR ko:K02963
rpsF ko:K02990
hppA ko:K15987
pth ko:K01056
ctc ko:K02897
prs ko:K00948
ispE ko:K00919
ispF ko:K01770
ispD ko:K00991
queA ko:K07568
ruvB ko:K03551
uvrA ko:K03701
MA20_18155 ko:K07735
fabA ko:K01716
ychF ko:K06942
lpxB ko:K00748
lpxK ko:K00912
ctp ko:K03797
exbB ko:K03561
tonB ko:K03832
frdB ko:K00240
