---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bins_5    c__Gammaproteobacteria (UID4274)      112         577           287         23   547   7    0    0   0       98.83            1.20              14.29          
  Bins_16        k__Bacteria (UID2565)            2921        142            87         3    139   0    0    0   0       97.63            0.00               0.00          
  Bins_20         k__Bacteria (UID203)            5449        104            58         5     24   73   2    0   0       93.97           62.76              89.87          
  Bins_29        k__Bacteria (UID1453)            901         171           117         9    154   8    0    0   0       93.16            5.63              12.50          
  Bins_12        k__Bacteria (UID2495)            2993        147            91         9    138   0    0    0   0       91.21            0.00               0.00          
  Bins_44        k__Bacteria (UID1453)            901         171           117         14   155   2    0    0   0       88.89            1.28               0.00          
  Bins_37        k__Bacteria (UID3187)            2258        188           117         20   164   4    0    0   0       85.80            2.56               0.00          
  Bins_18         k__Bacteria (UID203)            5449        104            58         17    49   34   2    2   0       83.23           46.35               1.92          
  Bins_45         k__Bacteria (UID203)            5449        104            58         19    60   23   2    0   0       80.54           16.61              34.48          
  Bins_28        k__Bacteria (UID2495)            2993        147            91         36   110   1    0    0   0       76.53            0.10               0.00          
  Bins_31          k__Archaea (UID2)              207         145           103         38   105   2    0    0   0       73.99            1.94              100.00         
  Bins_13     p__Actinobacteria (UID1454)         732         199           116         50   143   6    0    0   0       73.35            2.52              66.67          
  Bins_40        k__Bacteria (UID3187)            2258        188           117         44   141   3    0    0   0       73.21            2.14               0.00          
  Bins_22        s__algicola (UID2846)             47         571           303        140   301   94   28   5   3       71.82           34.82               6.69          
  Bins_4     f__Rhodobacteraceae (UID3340)         84         568           330        162   396   10   0    0   0       68.14            1.79              90.00          
  Bins_21        k__Bacteria (UID2565)            2921        142            87         44    95   3    0    0   0       67.70            1.83              100.00         
  Bins_15        k__Bacteria (UID2495)            2993        147            91         63    58   22   3    1   0       67.67           26.92               5.41          
  Bins_34     o__Actinomycetales (UID1663)        488         310           185        103   206   1    0    0   0       64.76            0.27              100.00         
  Bins_25        k__Bacteria (UID1453)            901         171           117         53   117   1    0    0   0       63.16            0.43               0.00          
  Bins_27         k__Bacteria (UID203)            5449        104            58         59    45   0    0    0   0       61.72            0.00               0.00          
  Bins_1      p__Proteobacteria (UID3882)         1493        261           164         98   154   9    0    0   0       61.49            4.37              22.22          
  Bins_24   c__Gammaproteobacteria (UID4267)      119         544           284        245   296   3    0    0   0       58.40            0.62              100.00         
  Bins_6         k__Bacteria (UID1453)            901         171           117         75    78   15   3    0   0       51.55           16.24              12.50          
  Bins_46        k__Bacteria (UID3187)            2258        188           117         96    88   4    0    0   0       50.74            2.14               0.00          
  Bins_19         k__Bacteria (UID203)            5449        104            58         67    32   5    0    0   0       50.34            8.62              80.00          
  Bins_11         k__Bacteria (UID203)            5449        104            58         70    29   5    0    0   0       50.00            6.90              80.00          
  Bins_14          k__Archaea (UID2)              207         145           103         75    67   3    0    0   0       48.27            2.91              66.67          
  Bins_32       p__Euryarchaeota (UID3)           148         188           125         81   103   4    0    0   0       48.21            2.44              100.00         
  Bins_3           k__Archaea (UID2)              207         145           103         83    52   5    5    0   0       47.09           12.62              45.00          
  Bins_33          k__Archaea (UID2)              207         145           103         77    67   1    0    0   0       44.03            0.32              100.00         
  Bins_43       p__Euryarchaeota (UID3)           148         188           125         98    90   0    0    0   0       42.67            0.00               0.00          
  Bins_8           k__Archaea (UID2)              207         145           103         91    54   0    0    0   0       41.01            0.00               0.00          
  Bins_2          k__Bacteria (UID203)            5449        100            55         75    25   0    0    0   0       35.79            0.00               0.00          
  Bins_41   c__Gammaproteobacteria (UID4201)      1164        275           174        178    92   5    0    0   0       35.52            2.30              20.00          
  Bins_26      p__Cyanobacteria (UID2143)         129         472           368        313   158   1    0    0   0       33.90            0.27               0.00          
  Bins_30        k__Bacteria (UID1453)            901         171           117         98    72   1    0    0   0       32.48            0.85              100.00         
  Bins_7       o__Cytophagales (UID2936)           47         454           336        310   133   10   0    1   0       30.47            3.42               6.25          
  Bins_10         k__Bacteria (UID203)            5449        104            58         86    18   0    0    0   0       29.31            0.00               0.00          
  Bins_36       p__Euryarchaeota (UID3)           148         188           125        136    52   0    0    0   0       26.53            0.00               0.00          
  Bins_38     o__Actinomycetales (UID1696)        455         315           190        238    76   1    0    0   0       22.46            0.18              100.00         
  Bins_17         k__Bacteria (UID203)            5449        103            57         82    21   0    0    0   0       21.05            0.00               0.00          
  Bins_39       p__Euryarchaeota (UID3)           148         188           125        154    34   0    0    0   0       15.77            0.00               0.00          
  Bins_35         k__Bacteria (UID203)            5449        104            58         94    9    1    0    0   0       13.79            0.86               0.00          
  Bins_42        k__Bacteria (UID2565)            2921        140            85        116    24   0    0    0   0       12.29            0.00               0.00          
  Bins_23             root (UID1)                 5656         56            24         55    1    0    0    0   0        4.17            0.00               0.00          
  Bins_9              root (UID1)                 5656         56            24         56    0    0    0    0   0        0.00            0.00               0.00          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
