#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_45299	1	15395	3132	15390	99.9675	19.1164	35.2	56.5
k105_158195	1	16406	2460	16406	100	14.4221	35.2	57.5
k105_45583	1	4193	653	4193	100	14.7348	35.4	56
k105_338853	1	3152	449	3150	99.9365	13.4083	35.1	56.4
k105_316475	1	5957	969	5953	99.9329	15.6278	35.1	57.4
k105_293817	1	2685	145	2685	100	5.23799	34.7	59.7
k105_90936	1	9780	1389	9780	100	13.7853	35.3	57.7
k105_68340	1	15087	2413	15087	100	14.8973	35.4	58.2
k105_203975	1	6122	1059	6122	100	16.227	35	55.3
k105_316919	1	3673	433	3673	100	11.6107	35.2	59.4
k105_226811	1	10817	2019	10787	99.7227	17.1	35.3	54.4
k105_46204	1	7543	862	7531	99.8409	11.2199	35.4	59.5
k105_136596	1	11839	1929	11839	100	15.6097	35.4	56.6
k105_114218	1	6807	1808	6807	100	24.3144	35.4	54.3
k105_159689	1	3224	444	3181	98.6663	13.2385	35.2	56.6
k105_272511	1	2810	363	2810	100	12.5267	35	58.8
k105_114552	1	16156	2329	16146	99.9381	13.9221	35.2	57.8
k105_69402	1	15457	2153	15454	99.9806	13.421	35.2	57.9
k105_47052	1	2986	475	2986	100	15.1966	35.1	57.8
k105_340827	1	6957	1028	6957	100	13.9274	35.2	58.1
k105_340849	1	6262	968	6262	100	14.5508	34.9	56.8
k105_318470	1	11946	1926	11946	100	15.4431	35.2	57.8
k105_183348	1	49395	8380	49395	100	16.2966	35.1	57.8
k105_205828	1	5327	667	5327	100	10.2493	35.1	45.2
k105_183596	1	11223	1658	11223	100	14.4291	35.2	58.1
k105_160997	1	5462	942	5430	99.4141	16.5157	35.2	56.8
k105_138375	1	2793	303	2793	100	10.29	35.1	58.4
k105_3032	1	3032	536	3028	99.8681	16.7902	35.6	57.1
k105_273928	1	3758	664	3744	99.6275	15.525	35.2	58.4
k105_184000	1	9609	1784	9609	100	17.0337	35.3	53.3
k105_319242	1	9731	1617	9731	100	15.4576	35.2	55.7
k105_48301	1	4505	684	4505	100	14.6577	35.1	57
k105_319353	1	16074	2304	16074	100	13.7703	35.2	57.2
k105_116025	1	3391	408	3391	100	11.7482	35.1	59.7
k105_138974	1	9538	1511	9538	100	15.3092	35.2	57.6
k105_93826	1	2501	514	2501	100	19.3986	35.2	56.8
k105_3742	1	2553	393	2553	100	14.4591	35.2	59.4
k105_116235	1	11793	1911	11793	100	15.5091	35.3	56.9
k105_161800	1	16473	2372	16473	100	13.937	35.2	58
k105_48818	1	21775	2869	21775	100	12.8083	35.3	57.7
k105_207104	1	9644	1587	9644	100	15.4994	35.3	56.2
k105_49034	1	3290	502	3290	100	14.5292	35.2	57.7
k105_161951	1	7389	1070	7389	100	13.8683	35.3	58
k105_49049	1	16211	2486	16211	100	14.7614	35.3	56.7
k105_342544	1	9827	1353	9826	99.9898	13.2619	35.2	58.5
k105_4216	1	7121	940	7121	100	12.7149	35.3	58
k105_184809	1	3554	492	3554	100	13.4268	35.2	58.2
k105_252576	1	2670	437	2670	100	15.3858	35.3	56.8
k105_162074	1	28619	4531	28619	100	14.7751	35.2	56
k105_139607	1	2530	303	2530	100	11.6581	35.1	59.1
k105_275050	1	8234	1071	8234	100	12.4716	35.2	58.6
k105_275092	1	7532	1085	7532	100	13.9322	35.1	57.2
k105_94620	1	4852	1076	4852	100	20.6626	35.4	53.5
k105_94788	1	13890	2225	13887	99.9784	15.136	35.2	56.6
k105_49546	1	7839	1349	7839	100	16.4433	35.4	56.5
k105_253139	1	5437	891	5437	100	15.7502	35.3	56.6
k105_117099	1	19497	2788	19497	100	13.5276	35.2	56.8
k105_140321	1	9665	1549	9665	100	15.3933	35.2	56.7
k105_298123	1	3476	487	3433	98.7629	13.6643	35.1	58.1
k105_275625	1	2604	466	2604	100	17.424	35	59.2
k105_208313	1	15942	2638	15942	100	15.9907	35	58.3
k105_208367	1	8439	1528	8439	100	16.8692	35.1	55.8
k105_50107	1	3573	432	3573	100	11.2236	35.2	56.7
k105_27767	1	6576	937	6576	100	13.5344	35.3	57.5
k105_208567	1	4199	580	4199	100	13.1067	35	57.8
k105_276353	1	3282	2279	3282	100	66.6167	35.4	58.2
k105_186605	1	9352	1621	9352	100	16.7811	35.1	58.4
k105_118150	1	22015	3592	22015	100	14.8427	35.3	57.2
k105_118225	1	5253	1120	5222	99.4099	18.7278	35.3	54.6
k105_186887	1	3751	599	3744	99.8134	15.3039	35.1	58.5
k105_209412	1	9303	1214	9303	100	12.8771	35.3	59.6
k105_96341	1	5952	805	5952	100	12.7981	35.4	58
k105_96439	1	5967	711	5967	100	11.7198	35.4	59.4
k105_28979	1	10171	1807	10170	99.9902	16.5994	35.3	55.4
k105_6394	1	16929	2967	16929	100	16.7599	35.2	56.5
k105_29248	1	4893	693	4886	99.8569	13.6017	35.3	57.7
k105_96711	1	3268	933	3268	100	23.6328	35.4	54.3
k105_322857	1	16449	2653	16449	100	15.5859	35.1	57.6
k105_73932	1	3780	510	3780	100	12.9767	35.3	56.4
k105_6960	1	4433	614	4432	99.9774	13.5658	35.4	58.4
